date,bid,ask
20130501082611,1.55467,1.55482
20130501082611,1.55469,1.55482
20130501082612,1.55471,1.55484
20130501082612,1.55475,1.55489
20130501082613,1.55483,1.55489
20130501082613,1.55485,1.55493
20130501082613,1.55485,1.555
20130501082613,1.55485,1.555
20130501082613,1.55487,1.55503
20130501082614,1.55487,1.55502
20130501082614,1.55486,1.555
20130501082614,1.55485,1.555
20130501082617,1.55485,1.555
20130501082617,1.55482,1.555
20130501082618,1.55484,1.555
20130501082618,1.55485,1.555
20130501082618,1.55485,1.555
20130501082619,1.55483,1.555
20130501082620,1.55484,1.555
20130501082622,1.55484,1.555
20130501082624,1.55486,1.555
20130501082626,1.55486,1.555
20130501082626,1.55483,1.555
20130501082627,1.55482,1.555
20130501082635,1.55482,1.555
20130501082635,1.55484,1.555
20130501082639,1.55484,1.555
20130501082642,1.55486,1.555
20130501082642,1.55486,1.55502
20130501082643,1.5549,1.55502
20130501082644,1.55494,1.55508
20130501082644,1.55493,1.55506
20130501082644,1.55493,1.55504
20130501082644,1.5549,1.55504
20130501082645,1.55489,1.55504
20130501082647,1.55487,1.55503
20130501082649,1.55486,1.55499
20130501082649,1.55485,1.55499
20130501082649,1.55485,1.55501
20130501082650,1.55491,1.55501
20130501082651,1.55491,1.55501
20130501082651,1.55491,1.55504
20130501082653,1.55491,1.55503
20130501082653,1.55486,1.55503
20130501082655,1.55486,1.55502
20130501082655,1.55496,1.55518
20130501082655,1.55512,1.55523
20130501082655,1.55518,1.55531
20130501082655,1.55518,1.55531
20130501082656,1.55521,1.55533
20130501082656,1.55522,1.55534
20130501082657,1.55525,1.55535
20130501082658,1.55523,1.55535
20130501082658,1.55525,1.55537
20130501082659,1.55531,1.55538
20130501082659,1.55533,1.55545
20130501082659,1.55533,1.55548
20130501082700,1.55533,1.55548
20130501082700,1.55535,1.5555
20130501082700,1.55536,1.55553
20130501082701,1.55536,1.55551
20130501082701,1.55536,1.55553
20130501082701,1.55536,1.55551
20130501082701,1.55541,1.55559
20130501082702,1.5554,1.55553
20130501082702,1.55536,1.55552
20130501082702,1.55536,1.55549
20130501082702,1.55537,1.55549
20130501082702,1.55543,1.55552
20130501082702,1.55543,1.55554
20130501082703,1.55537,1.55554
20130501082703,1.55533,1.55554
20130501082703,1.55534,1.55554
20130501082703,1.55536,1.55553
20130501082703,1.55534,1.55554
20130501082703,1.55536,1.55554
20130501082704,1.55545,1.55559
20130501082704,1.55547,1.5556
20130501082705,1.55547,1.55561
20130501082705,1.5555,1.55563
20130501082706,1.5555,1.55562
20130501082706,1.5555,1.5556
20130501082707,1.55553,1.55561
20130501082707,1.55553,1.55566
20130501082707,1.55553,1.55565
20130501082707,1.55554,1.55568
20130501082707,1.55554,1.55569
20130501082707,1.55556,1.55569
20130501082707,1.55552,1.55568
20130501082707,1.55554,1.55569
20130501082708,1.55555,1.5557
20130501082708,1.55555,1.5557
20130501082708,1.55555,1.55569
20130501082712,1.55556,1.5557
20130501082712,1.55558,1.5557
20130501082714,1.55556,1.5557
20130501082715,1.55556,1.55569
20130501082715,1.55555,1.55568
20130501082715,1.55552,1.55564
20130501082716,1.55554,1.55568
20130501082717,1.55555,1.55568
20130501082717,1.55556,1.55569
20130501082717,1.55556,1.55565
20130501082717,1.55552,1.55563
20130501082718,1.55552,1.55563
20130501082718,1.55551,1.55563
20130501082718,1.55551,1.55563
20130501082719,1.55549,1.55563
20130501082719,1.55549,1.55561
20130501082719,1.55549,1.55558
20130501082719,1.55546,1.55558
20130501082720,1.55543,1.55557
20130501082721,1.55537,1.5555
20130501082721,1.55536,1.55549
20130501082721,1.55535,1.55544
20130501082722,1.55535,1.55544
20130501082722,1.55535,1.55549
20130501082722,1.55533,1.55544
20130501082722,1.55532,1.55546
20130501082723,1.55532,1.55545
20130501082723,1.55524,1.55538
20130501082724,1.55523,1.55539
20130501082725,1.55523,1.55536
20130501082725,1.55523,1.55537
20130501082725,1.55525,1.55541
20130501082725,1.55527,1.55541
20130501082725,1.5553,1.55546
20130501082725,1.55533,1.55547
20130501082726,1.55533,1.55548
20130501082726,1.55535,1.55549
20130501082727,1.55536,1.55549
20130501082729,1.55534,1.55549
20130501082730,1.55532,1.55548
20130501082731,1.5553,1.55547
20130501082731,1.55531,1.55545
20130501082732,1.55545,1.55555
20130501082732,1.55547,1.5556
20130501082732,1.55547,1.5556
20130501082733,1.55547,1.5556
20130501082733,1.55547,1.55563
20130501082734,1.55547,1.5556
20130501082734,1.55547,1.55559
20130501082734,1.55544,1.55555
20130501082735,1.55538,1.55555
20130501082735,1.55537,1.55554
20130501082736,1.55536,1.55554
20130501082736,1.55533,1.55552
20130501082736,1.55534,1.55551
20130501082738,1.55535,1.55553
20130501082739,1.55537,1.55553
20130501082740,1.55539,1.55554
20130501082740,1.55541,1.55556
20130501082743,1.55538,1.55556
20130501082743,1.55537,1.55553
20130501082743,1.55534,1.55553
20130501082744,1.55532,1.55551
20130501082745,1.55533,1.55559
20130501082746,1.55531,1.55567
20130501082747,1.55531,1.55564
20130501082747,1.5553,1.55561
20130501082747,1.55529,1.55554
20130501082748,1.55532,1.55558
20130501082748,1.5553,1.55566
20130501082750,1.5553,1.55566
20130501082750,1.55527,1.55564
20130501082753,1.55523,1.55564
20130501082753,1.55523,1.55557
20130501082755,1.55518,1.55555
20130501082758,1.55516,1.5555
20130501082759,1.55516,1.55534
20130501082759,1.55513,1.55534
20130501082759,1.55518,1.55534
20130501082800,1.55528,1.55549
20130501082800,1.55528,1.55551
20130501082800,1.55531,1.55557
20130501082800,1.5553,1.55562
20130501082800,1.5557,1.55667
20130501082800,1.55616,1.55667
20130501082800,1.55606,1.55667
20130501082801,1.55599,1.55667
20130501082801,1.55616,1.55713
20130501082801,1.55622,1.55689
20130501082802,1.55635,1.55669
20130501082802,1.55659,1.55731
20130501082802,1.55679,1.55717
20130501082802,1.55682,1.5575
20130501082802,1.55686,1.55724
20130501082802,1.55686,1.55764
20130501082802,1.55686,1.55723
20130501082802,1.55686,1.55744
20130501082802,1.55692,1.55727
20130501082803,1.55691,1.55731
20130501082803,1.55693,1.55737
20130501082803,1.55696,1.55734
20130501082803,1.55698,1.5575
20130501082803,1.55698,1.55734
20130501082804,1.55703,1.55737
20130501082804,1.55713,1.5575
20130501082804,1.55723,1.5575
20130501082804,1.55723,1.55734
20130501082804,1.55723,1.55744
20130501082805,1.55723,1.55744
20130501082805,1.55723,1.55743
20130501082805,1.55721,1.55744
20130501082805,1.55719,1.55744
20130501082805,1.55723,1.5575
20130501082806,1.55723,1.55744
20130501082806,1.55723,1.55744
20130501082806,1.55717,1.55744
20130501082806,1.5572,1.55741
20130501082806,1.55723,1.55744
20130501082806,1.55723,1.55744
20130501082806,1.55723,1.55744
20130501082806,1.55738,1.55754
20130501082807,1.55741,1.55759
20130501082807,1.55741,1.55759
20130501082807,1.55742,1.55763
20130501082807,1.55743,1.55764
20130501082807,1.55753,1.55764
20130501082807,1.55753,1.55769
20130501082807,1.55752,1.55771
20130501082808,1.55751,1.55771
20130501082808,1.55751,1.55771
20130501082808,1.5575,1.55769
20130501082808,1.55743,1.55767
20130501082808,1.55743,1.55769
20130501082808,1.55747,1.55774
20130501082808,1.55743,1.5578
20130501082809,1.55743,1.55768
20130501082809,1.55743,1.55759
20130501082809,1.55743,1.55763
20130501082809,1.55736,1.55755
20130501082809,1.55733,1.55754
20130501082809,1.55733,1.55755
20130501082809,1.55743,1.55759
20130501082809,1.55743,1.55762
20130501082810,1.55757,1.55765
20130501082810,1.55762,1.55779
20130501082810,1.55769,1.55782
20130501082810,1.55756,1.5577
20130501082810,1.55753,1.55769
20130501082811,1.55753,1.55768
20130501082811,1.55751,1.55764
20130501082811,1.55752,1.55765
20130501082812,1.55754,1.55764
20130501082812,1.55752,1.55768
20130501082812,1.55751,1.55764
20130501082812,1.55751,1.55769
20130501082812,1.55751,1.55762
20130501082812,1.5575,1.55769
20130501082812,1.55751,1.5577
20130501082812,1.55752,1.55764
20130501082813,1.55752,1.55764
20130501082813,1.55755,1.55769
20130501082813,1.55757,1.55771
20130501082814,1.55757,1.55771
20130501082814,1.55759,1.55775
20130501082814,1.55755,1.55767
20130501082815,1.55757,1.55767
20130501082815,1.55763,1.55774
20130501082815,1.55763,1.55774
20130501082815,1.55763,1.55774
20130501082816,1.55757,1.55774
20130501082816,1.55752,1.55766
20130501082816,1.55752,1.55764
20130501082816,1.55753,1.55766
20130501082816,1.55756,1.55769
20130501082816,1.55757,1.55769
20130501082817,1.55761,1.55773
20130501082817,1.55761,1.55775
20130501082817,1.55758,1.55774
20130501082817,1.55757,1.55774
20130501082817,1.55767,1.55783
20130501082817,1.55772,1.55786
20130501082817,1.55774,1.55785
20130501082818,1.55773,1.55786
20130501082818,1.55773,1.55784
20130501082818,1.55773,1.55784
20130501082818,1.55773,1.55784
20130501082818,1.55773,1.55783
20130501082818,1.55771,1.55784
20130501082819,1.55771,1.55783
20130501082819,1.55764,1.55774
20130501082819,1.55764,1.55779
20130501082819,1.55764,1.55776
20130501082819,1.55763,1.55772
20130501082820,1.55759,1.55771
20130501082820,1.55759,1.55769
20130501082820,1.55758,1.55769
20130501082820,1.55758,1.55769
20130501082821,1.55758,1.55767
20130501082821,1.55758,1.55768
20130501082821,1.55756,1.55768
20130501082821,1.55758,1.5577
20130501082822,1.55756,1.55771
20130501082822,1.55756,1.55766
20130501082822,1.55761,1.55767
20130501082822,1.55761,1.5577
20130501082823,1.55762,1.55771
20130501082823,1.55763,1.55771
20130501082823,1.55763,1.55774
20130501082823,1.55763,1.55774
20130501082824,1.55763,1.55775
20130501082824,1.55758,1.55773
20130501082824,1.55757,1.55766
20130501082825,1.55753,1.55766
20130501082825,1.55753,1.55766
20130501082826,1.55753,1.55768
20130501082826,1.55754,1.55768
20130501082826,1.55754,1.55768
20130501082826,1.55764,1.55771
20130501082826,1.55766,1.55779
20130501082826,1.55771,1.55782
20130501082826,1.55776,1.55785
20130501082827,1.55773,1.55784
20130501082827,1.55773,1.55787
20130501082827,1.55773,1.55788
20130501082827,1.55773,1.55788
20130501082827,1.55774,1.5579
20130501082828,1.55776,1.5579
20130501082828,1.55778,1.55787
20130501082829,1.55776,1.55787
20130501082829,1.55776,1.55791
20130501082829,1.55776,1.55793
20130501082829,1.55776,1.55793
20130501082830,1.55778,1.55793
20130501082830,1.55778,1.55789
20130501082830,1.55776,1.55788
20130501082830,1.55779,1.55794
20130501082831,1.55779,1.55794
20130501082831,1.55779,1.55793
20130501082831,1.55781,1.55786
20130501082831,1.55781,1.55793
20130501082831,1.55781,1.558
20130501082832,1.55779,1.55794
20130501082832,1.55779,1.55794
20130501082832,1.55786,1.55801
20130501082832,1.55789,1.55808
20130501082833,1.55791,1.55803
20130501082833,1.55789,1.55804
20130501082833,1.55789,1.55804
20130501082834,1.55792,1.55801
20130501082834,1.55789,1.55796
20130501082835,1.55788,1.55794
20130501082835,1.55788,1.55797
20130501082835,1.55788,1.55799
20130501082835,1.55788,1.55799
20130501082836,1.55786,1.55799
20130501082836,1.55786,1.55799
20130501082836,1.55791,1.55804
20130501082836,1.55793,1.55807
20130501082836,1.55793,1.55804
20130501082837,1.55792,1.55806
20130501082837,1.55792,1.55802
20130501082837,1.55788,1.55802
20130501082837,1.55788,1.55799
20130501082837,1.55786,1.55799
20130501082837,1.55786,1.55801
20130501082837,1.55792,1.55801
20130501082837,1.55793,1.55805
20130501082838,1.55794,1.55806
20130501082838,1.55797,1.55816
20130501082838,1.55798,1.55817
20130501082838,1.55797,1.55813
20130501082838,1.55796,1.55809
20130501082839,1.55786,1.55802
20130501082839,1.55785,1.55802
20130501082839,1.55785,1.55801
20130501082840,1.55785,1.55803
20130501082840,1.55789,1.55805
20130501082840,1.55792,1.55806
20130501082840,1.55795,1.55806
20130501082841,1.55797,1.55809
20130501082841,1.55796,1.5581
20130501082841,1.55793,1.55807
20130501082841,1.55791,1.55803
20130501082841,1.55789,1.55802
20130501082841,1.55786,1.55797
20130501082842,1.55783,1.55796
20130501082842,1.55785,1.55797
20130501082842,1.55783,1.55794
20130501082842,1.55783,1.55793
20130501082842,1.55778,1.55789
20130501082843,1.55776,1.55789
20130501082843,1.55776,1.55789
20130501082843,1.55776,1.55789
20130501082843,1.5577,1.55787
20130501082844,1.55772,1.55782
20130501082844,1.55772,1.55785
20130501082844,1.55772,1.55785
20130501082844,1.55776,1.55787
20130501082844,1.5579,1.55804
20130501082844,1.55796,1.55808
20130501082844,1.55796,1.5581
20130501082844,1.55795,1.55809
20130501082845,1.55793,1.55808
20130501082845,1.55784,1.55797
20130501082845,1.55784,1.55799
20130501082846,1.55783,1.55798
20130501082846,1.55784,1.55799
20130501082846,1.55783,1.55798
20130501082846,1.55784,1.55799
20130501082846,1.55781,1.55795
20130501082847,1.55774,1.55787
20130501082847,1.55772,1.55786
20130501082848,1.55772,1.55785
20130501082848,1.55771,1.55782
20130501082848,1.55768,1.55775
20130501082848,1.55769,1.55775
20130501082848,1.55766,1.55774
20130501082848,1.55767,1.55774
20130501082849,1.55767,1.55773
20130501082849,1.55765,1.55771
20130501082849,1.55767,1.55773
20130501082850,1.55767,1.55775
20130501082850,1.55767,1.55775
20130501082851,1.55767,1.55774
20130501082851,1.55765,1.55774
20130501082853,1.55764,1.55773
20130501082853,1.55763,1.55772
20130501082853,1.55762,1.5577
20130501082854,1.5576,1.55769
20130501082854,1.5576,1.55766
20130501082854,1.5576,1.55769
20130501082854,1.55757,1.55767
20130501082854,1.55757,1.55769
20130501082855,1.55757,1.55769
20130501082856,1.55755,1.55763
20130501082856,1.55752,1.55761
20130501082857,1.55752,1.55759
20130501082858,1.55753,1.55759
20130501082858,1.55753,1.55761
20130501082858,1.5575,1.55761
20130501082858,1.55755,1.55764
20130501082858,1.55755,1.55764
20130501082859,1.55755,1.55762
20130501082859,1.55753,1.55762
20130501082859,1.55753,1.55763
20130501082859,1.55752,1.55763
